cluster,dataset,subject,emotion_generation,reappraisal_effect,look_neg_base,reg_neg_base
1,AHAB,81,0.528735436463528,0.125459136051541,1.52942651041875,1.65488564647029
1,AHAB,82,0.71176394640796,-0.0731193075384057,1.11038512172771,1.0372658141893
1,AHAB,83,0.372720349075143,-0.0483635333967413,1.23638617815918,1.18802264476243
1,AHAB,84,0.344913701507502,-0.20227060626091,1.27422853859132,1.07195793233041
1,AHAB,85,0.0447910932549594,-0.0865816261364149,1.06981660178644,0.983234975650025
1,AHAB,86,0.258763440284098,0.0672749258168591,1.04963269487388,1.11690762069074
1,AHAB,87,0.430551105450615,-0.257125015412501,1.09439599769716,0.837270982284657
1,AHAB,88,0.207811629668091,0.00797924812799271,1.2294760957996,1.23745534392759
1,AHAB,89,0.588914074503335,-0.0589023118172748,0.579946436533987,0.521044124716713
1,AHAB,90,0.41881326070509,0.0405701754465416,0.833794559685277,0.874364735131819
1,AHAB,91,0.648151401824272,-0.376872332120898,1.60090932868265,1.22403699656175
1,AHAB,92,0.529339412620007,-0.0394264471425658,0.865334776443632,0.825908329301066
1,AHAB,93,0.514132908740603,-0.0142907978221942,1.51779162715739,1.5035008293352
1,AHAB,94,0.133791827787541,-0.0731999657510794,0.816181222209278,0.742981256458199
1,AHAB,95,0.47995498494015,-0.103877813046196,1.16478513047419,1.06090731742799
1,AHAB,96,0.422502316312245,-0.0712552260217882,1.31301027666519,1.2417550506434
1,AHAB,97,0.69146929270912,-0.250070068043122,1.6508269410346,1.40075687299147
1,AHAB,98,0.578116198242812,-0.0997176698935032,1.20590338412078,1.10618571422728
1,AHAB,99,0.896126718828031,-0.105245621400375,1.65182784504632,1.54658222364595
1,AHAB,100,0.810137660362224,-0.106275698121878,1.18018443360212,1.07390873548024
1,AHAB,101,0.456575993661272,-0.148935452336257,0.999104124569286,0.850168672233028
1,AHAB,102,0.428398853401466,-0.071992522494112,1.29392551289852,1.22193299040441
1,AHAB,103,0.441087981805013,-0.0901203598431942,0.925661446361734,0.83554108651854
1,AHAB,104,0.185353395314514,0.0251189612704605,1.14126862639903,1.16638758766949
1,AHAB,105,0.406371281251245,-0.23790563205226,0.897647673733177,0.659742041680916
1,AHAB,106,0.845718900394551,-0.0978038214616339,1.20701981763424,1.10921599617261
1,AHAB,107,0.627656272684379,-0.21544310683492,1.38020753725762,1.1647644304227
1,AHAB,108,0.573931444947596,-0.207978645461875,1.24001740605017,1.0320387605883
1,AHAB,109,0.584643566588064,-0.122277722962727,1.091543665847,0.969265942884273
1,AHAB,110,0.220140927203807,-0.21908180829579,1.32499715707397,1.10591534877818
1,AHAB,111,0.300878870435927,-0.0808988559241893,0.867705198148456,0.786806342224267
1,AHAB,112,0.0959427505911148,-0.0161129018453821,0.34882056492766,0.332707663082277
1,AHAB,113,0.736238157805004,-0.096969209686369,1.27185614762931,1.17488693794294
1,AHAB,114,0.232274322736648,-0.212352671412886,0.827268734461122,0.614916063048236
1,AHAB,115,0.237212730330123,0.033781568065343,1.13666311040372,1.17044467846906
1,AHAB,116,0.212878270573909,-0.0952240935336811,0.535322293003174,0.440098199469493
1,AHAB,117,0.721000332950343,-0.0208911117800013,1.64808841716485,1.62719730538484
1,AHAB,118,0.299800820735688,-0.16372313594925,0.867514358516239,0.703791222566989
1,AHAB,119,0.397054707762598,-0.120555429818174,0.861792870188005,0.741237440369831
