dataset,subject,roi_id,source_system,emotion_generation,reappraisal_effect,look_neu_base,look_neg_base,reg_neg_base,look_negative_minus_neutral,regulate_negative_minus_look_negative
AHAB,177,34,non_modifiable_emotion,0.40070606811164,-0.299263052370374,-0.0502125368906738,0.350493531220966,0.0512304788505919,0.40070606811164,-0.299263052370374
AHAB,177,35,non_modifiable_emotion,-0.0884820449620395,-0.258793721702175,0.079231352274937,-0.0092506926871025,-0.268044414389278,-0.0884820449620395,-0.258793721702175
AHAB,177,36,non_modifiable_emotion,-0.386617638015499,-0.0659265074775451,0.149339173610012,-0.237278464405487,-0.303204971883032,-0.386617638015499,-0.0659265074775451
AHAB,177,37,non_modifiable_emotion,0.235901091241865,-0.294599663139585,0.470983567270213,0.706884658512078,0.412284995372493,0.235901091241865,-0.294599663139585
AHAB,177,38,non_modifiable_emotion,0.394839406122255,-0.105430304324728,0.0397239962601036,0.434563402382359,0.329133098057631,0.394839406122255,-0.105430304324728
AHAB,177,39,non_modifiable_emotion,0.0511820348445326,-0.0596509420790857,0.0221099841506466,0.0732920189951792,0.0136410769160935,0.0511820348445326,-0.0596509420790857
AHAB,177,40,non_modifiable_emotion,0.654924355871346,-0.0901276733174368,-0.0615659559557335,0.593358399915613,0.503230726598176,0.654924355871346,-0.0901276733174368
AHAB,177,41,non_modifiable_emotion,0.315281436147379,-0.131392386343373,0.141310045065362,0.456591481212741,0.325199094869368,0.315281436147379,-0.131392386343373
AHAB,177,42,non_modifiable_emotion,0.297267548841604,-0.0702686391503073,-0.0160874559674032,0.281180092874201,0.210911453723893,0.297267548841604,-0.0702686391503073
AHAB,177,43,non_modifiable_emotion,0.0858885225371105,0.137402468046324,-0.0215939481701777,0.0642945743669328,0.201697042413257,0.0858885225371105,0.137402468046324
AHAB,177,44,non_modifiable_emotion,0.0043540721720395,0.0774934502939383,-0.162541495054029,-0.158187422881989,-0.0806939725880511,0.0043540721720395,0.0774934502939383
AHAB,177,45,non_modifiable_emotion,0.155343687303165,-0.0155884356443914,-0.0971718050020102,0.0581718823011545,0.0425834466567631,0.155343687303165,-0.0155884356443914
AHAB,177,46,non_modifiable_emotion,0.288098645316355,-0.107128335892248,0.025996585797486,0.314095231113841,0.206966895221593,0.288098645316355,-0.107128335892248
AHAB,177,47,non_modifiable_emotion,0.58276409027469,-0.0459782933774485,0.0406709172565377,0.623435007531228,0.57745671415378,0.58276409027469,-0.0459782933774485
AHAB,177,48,non_modifiable_emotion,0.774330318152927,-0.188845516393387,0.488209748232793,1.26254006638572,1.07369454999233,0.774330318152927,-0.188845516393387
AHAB,177,49,non_modifiable_emotion,0.650331172729599,-0.166158621546764,0.645164212439705,1.2954953851693,1.12933676362254,0.650331172729599,-0.166158621546764
AHAB,177,50,non_modifiable_emotion,0.120955679647844,-0.288204220835777,0.0440899069311426,0.165045586578986,-0.123158634256791,0.120955679647844,-0.288204220835777
AHAB,177,51,non_modifiable_emotion,0.175990641516296,-0.13110406890326,0.185883675258843,0.361874316775139,0.230770247871879,0.175990641516296,-0.13110406890326
AHAB,177,52,non_modifiable_emotion,0.0834742318237982,-0.333342293337468,0.685196710690375,0.768670942514174,0.435328649176705,0.0834742318237982,-0.333342293337468
AHAB,177,53,non_modifiable_emotion,0.327648367779057,-0.064859477258478,0.274567745165758,0.602216112944815,0.537356635686337,0.327648367779057,-0.064859477258478
AHAB,177,54,modifiable_emotion,0.473462619011392,-0.192420539827254,0.483218906760208,0.9566815257716,0.764260985944346,0.473462619011392,-0.192420539827254
AHAB,177,55,modifiable_emotion,0.0612702213763965,-0.169460911864669,0.345691953926827,0.406962175303223,0.237501263438555,0.0612702213763965,-0.169460911864669
AHAB,177,56,modifiable_emotion,0.157346415048777,-0.398800018655919,0.0189993798866772,0.176345794935454,-0.222454223720464,0.157346415048777,-0.398800018655919
AHAB,177,57,modifiable_emotion,0.790837761229482,-0.156703455164389,0.83180337041381,1.62264113164329,1.4659376764789,0.790837761229482,-0.156703455164389
AHAB,177,58,modifiable_emotion,0.0334201231505097,-0.431770761619203,0.335364209675549,0.368784332826059,-0.0629864287931447,0.0334201231505097,-0.431770761619203
AHAB,177,59,modifiable_emotion,0.764430021476919,-0.187981047536801,-0.22805683254789,0.536373188929029,0.348392141392228,0.764430021476919,-0.187981047536801
AHAB,177,60,modifiable_emotion,0.464594281162135,-0.0797332939691842,0.0434340398060158,0.508028320968151,0.428295026998967,0.464594281162135,-0.0797332939691842
AHAB,177,61,modifiable_emotion,0.0427536406961735,0.143658813711954,0.0393513550865464,0.0821049957827199,0.225763809494674,0.0427536406961735,0.143658813711954
AHAB,178,1,reappraisal_only,0.383336932014428,0.193571662698995,-1.14108595498047,-0.75774902296604,-0.564177360267045,0.383336932014428,0.193571662698995
AHAB,178,2,reappraisal_only,0.224504119467972,0.111621483695319,-0.618017542360134,-0.393513422892162,-0.281891939196843,0.224504119467972,0.111621483695319
AHAB,178,3,reappraisal_only,0.148198163586444,0.0589535337198397,-0.792958688633195,-0.644760525046752,-0.585806991326912,0.148198163586444,0.0589535337198397
AHAB,178,4,reappraisal_only,0.0593011193956207,0.147177632387941,-0.385625141313905,-0.326324021918284,-0.179146389530343,0.0593011193956207,0.147177632387941
AHAB,178,5,reappraisal_only,0.474413799607883,-0.0582078970442324,-0.728346120350171,-0.253932320742288,-0.31214021778652,0.474413799607883,-0.0582078970442324
