roi_id,source_system,emotion_generation_mean,emotion_generation_sd,emotion_generation_t,emotion_generation_signed_logbf,emotion_generation_p_gt0,emotion_generation_p_lt0,emotion_generation_p_rope,reappraisal_effect_mean,reappraisal_effect_sd,reappraisal_effect_t,reappraisal_effect_signed_logbf,reappraisal_effect_p_gt0,reappraisal_effect_p_lt0,reappraisal_effect_p_rope,look_neutral_base_mean,look_negative_base_mean,regulate_negative_base_mean,look_negative_minus_neutral_mean,regulate_negative_minus_look_negative_mean,z_emotion_generation_mean,z_emotion_generation_sd,z_emotion_generation_t,z_emotion_generation_signed_logbf,z_emotion_generation_p_gt0,z_emotion_generation_p_lt0,z_emotion_generation_p_rope,z_reappraisal_effect_mean,z_reappraisal_effect_sd,z_reappraisal_effect_t,z_reappraisal_effect_signed_logbf,z_reappraisal_effect_p_gt0,z_reappraisal_effect_p_lt0,z_reappraisal_effect_p_rope,z_look_neutral_base_mean,z_look_negative_base_mean,z_regulate_negative_base_mean,z_look_negative_minus_neutral_mean,z_regulate_negative_minus_look_negative_mean
11,reappraisal_only,0.0134533278917703,0.392297511802709,0.454957163440435,2.37332639946217,0.675429971599145,0.324570028400855,0.875811629625533,0.0930344774124811,0.300358415788846,4.10923001219869,5.46239416938758,0.999980150973519,1.98490264810482e-05,0.0286650706570377,0.3411568185118,0.354610146403571,0.447644623816052,0.0134533278917703,0.0930344774124811,-1.12049908663159,1.91946967180783,-1.09854358068083,-0.783804910345411,-0.740304525736079,0.740304525736079,1.46639303214762,0.797161111390249,1.12045105141993,0.547492427593969,0.191725980466743,0.925916742609522,-0.925916742609522,-0.755132288488215,0.315220166142682,0.0208610550464325,0.216450407636934,-1.12049908663159,0.797161111390249
12,reappraisal_only,-0.0431213620656197,0.402820441217594,-1.42016008908019,-1.48832996526412,0.0777805399474794,0.92221946005252,0.588528162510121,0.113931321201372,0.337335491060727,4.48061297204439,6.88436612158323,0.999996278551459,3.72144854100916e-06,0.00596433911998539,0.218865357139444,0.175743995073825,0.289675316275197,-0.0431213620656197,0.113931321201372,-1.91748344011601,2.06617977700342,-1.51043222932171,-1.00720288526761,-3.08241038719004,3.08241038719004,0.761070543183385,1.09157143051379,1.66549749925474,0.6339288733459,0.32051838000552,0.925957147222412,-0.925957147222412,-0.803299063269867,-0.132678845355674,-0.550904205274239,-0.325364314908494,-1.91748344011601,1.09157143051379
13,reappraisal_only,-0.00423314820730754,0.288017657092392,-0.194984771799612,-2.45640656861368,0.422702434579354,0.577297565420646,0.976244374142968,0.100951336060404,0.270644367202256,4.94845257277747,8.81333434683277,0.999999625970939,3.74029061226767e-07,0.00625287057072016,0.55089491774326,0.546661769535952,0.647613105596356,-0.00423314820730754,0.100951336060404,-1.36965369498839,0.465605652470207,-1.24130996237841,-1.06320640612288,-1.73070895759349,1.73070895759349,1.71296995510048,0.90869972002118,0.682462472987741,0.742814839159114,0.495231000729395,0.92596553355226,-0.92596553355226,-0.802686852628889,1.08339716120924,0.634775121396849,0.90231697982283,-1.36965369498839,0.90869972002118
14,reappraisal_only,-0.0102983393627471,0.18967537418727,-0.720298621290863,-2.22020084588219,0.235670576722027,0.764329423277973,0.997243309566444,0.0749194368809232,0.180896905730501,5.49439274564309,11.2449083926333,0.999999980397144,1.9602855455328e-08,0.0338104060127517,0.0669969438084878,0.0566986044457408,0.131618041326664,-0.0102983393627471,0.0749194368809232,-1.45509583272557,-0.905477066166646,-1.35670051264316,-1.04954183446258,-2.46366106524576,2.46366106524576,1.76452538064307,0.541942911086382,-0.640425687249436,0.869878095252781,0.715466185770359,0.92596642150045,-0.92596642150045,-0.744214833742308,-0.688905023744735,-0.931445846364062,-0.867480754523687,-1.45509583272557,0.541942911086382
15,reappraisal_only,-0.0124406415640792,0.367444253759389,-0.449166803368974,-2.37589933933001,0.326655666424568,0.673344333575432,0.900376710899584,0.118527463215299,0.358262061019047,4.38909017292678,6.52470846451321,0.999994308706592,5.69129340774184e-06,0.00558105271739937,0.286188164360212,0.273747522796133,0.392274986011432,-0.0124406415640792,0.118527463215299,-1.48527507606182,1.57296691024499,-1.29714364069967,-1.05854903884576,-2.10710302199904,2.10710302199904,1.52670386186502,1.15632530677986,1.97395760696428,0.612627665923024,0.287943073161374,0.925952212146631,-0.925952212146631,-0.804112326481235,0.113894533252202,-0.237625185605575,0.0265395609568468,-1.48527507606182,1.15632530677986
16,reappraisal_only,0.00741021136476561,0.179391283228693,0.548006352857704,2.32747276182981,0.708156229645863,0.291843770354137,0.999171734302157,0.0757851117712484,0.187801077746985,5.35355352494856,10.5998939091105,0.999999956878246,4.31217540491347e-08,0.0342660496227648,0.0509509416702181,0.0583611530349837,0.134146264806232,0.00741021136476561,0.0757851117712484,-1.20563025256344,-1.04885729869386,-1.07810437623392,-0.786457556987783,-0.612054824932635,0.612054824932635,1.76925994246115,0.554139184518515,-0.53865737796169,0.837098880868888,0.657045228210757,0.925966362578274,-0.925966362578274,-0.743248041852435,-0.747674363938883,-0.926131327547297,-0.858809268116362,-1.20563025256344,0.554139184518515
17,common_appraisal,0.131576334553098,0.195381557217236,8.93409468566573,29.9630279747502,1,2.0526283597347e-19,1.52039927217047e-08,0.0914977326951658,0.16434429634553,7.38604637376826,20.9356631691656,0.999999999999924,7.5629528633356e-14,0.000404268719462176,0.321695868833716,0.453272203386814,0.54476993608198,0.131576334553098,0.0914977326951658,0.54353456810905,-0.82592177508892,0.763985544351115,0.81226757215885,0.531640741356524,-0.531640741356524,-0.683851233386187,0.775510305785016,-0.88441310056809,1.31014551160601,1.59318783076082,0.925966470611528,-0.925966470611528,-0.815096509458551,0.243943398118029,0.336245135686711,0.549577930550789,0.54353456810905,0.775510305785016
18,common_appraisal,0.134288700737048,0.234333208497583,7.6025969479047,22.1490778093785,0.999999999999985,1.45123193560189e-14,9.12454652896684e-07,0.0927702726509952,0.168438560991779,7.30673984082153,20.4959025254722,0.999999999999863,1.36850874382533e-13,0.000377676424710147,0.249510792601885,0.383799493338933,0.476569765989928,0.134288700737048,0.0927702726509952,0.58174447100302,-0.28285998767467,0.471508472243995,0.360228219555626,0.531640741356467,-0.531640741356467,-0.683849030505962,0.793438797679679,-0.824063157109178,1.29168754348687,1.55335734856563,0.925966470611374,-0.925966470611374,-0.815152933414323,-0.0204383005414241,0.114168002308468,0.315659982746788,0.58174447100302,0.793438797679679
19,common_appraisal,0.213538840859923,0.405199073330891,6.99140999980945,18.7731590178757,0.999999999998639,1.36068590632397e-12,4.29262603776629e-08,0.0932940745828207,0.293374113150594,4.21879677428549,5.87148872903955,0.9999877195236,1.22804763996946e-05,0.0251281500646102,0.116276039989882,0.329814880849806,0.423108955432626,0.213538840859923,0.0932940745828207,1.69816458284014,2.09934253556661,0.337255019144199,0.164930308428056,0.531640741351192,-0.531640741351192,-0.683851165324008,0.800818509920638,1.01750160732269,0.572993224645254,0.228778940544107,0.925935704188087,-0.925935704188087,-0.762636983097636,-0.50841770092198,-0.0583997293930601,0.132296171826322,1.69816458284014,0.800818509920638
20,common_appraisal,0.155763076322943,0.301355345967616,6.85712315732682,18.0525565499176,0.999999999996487,3.51305282447305e-12,1.61218243007989e-06,0.0981351421250957,0.256236423216313,5.08089273322985,9.38592865127929,0.999999812167394,1.8783260639495e-07,0.00634825592257574,0.147603445855875,0.303366522178818,0.401501664303914,0.155763076322943,0.0981351421250957,0.884260337297589,0.651558979799589,0.307757543183126,0.123243240273516,0.531640741342757,-0.531640741342757,-0.683847312573,0.869023079683344,0.470087680433154,0.773639238719813,0.547092638589435,0.925966000032454,-0.925966000032454,-0.8024844624657,-0.393679403065987,-0.14294480719648,0.058185899203687,0.884260337297589,0.869023079683344
