dataset,subject,cluster,emotion_generation,reappraisal_effect,look_neg_base,reg_neg_base,reg_success,emotion_reactivity
PIP,71,1,0.461129068005694,-0.00640343572594367,0.361678706440105,0.355275270714162,0.37619047619047,1.57619047619047
PIP,71,2,1.12514750173753,-0.129301036636283,1.97547252483114,1.84617148819486,0.37619047619047,1.57619047619047
PIP,72,1,0.354287778886917,-0.24546377153537,0.792755665279567,0.547291893744196,0.82857142857143,2.8952380952381
PIP,72,2,0.69926189014202,-0.634873307224967,2.20436191162059,1.56948860439562,0.82857142857143,2.8952380952381
PIP,73,1,0.0610342336971003,0.0597272213460013,0.0595461448102983,0.1192733661563,1.1,3.5
PIP,73,2,0.242648321553383,-0.0217988646698128,1.00745375326352,0.98565488859371,1.1,3.5
PIP,74,1,0.187946665840319,0.0505892223321706,0.504581254142481,0.555170476474651,0.33333333333333,3.53333333333333
PIP,74,2,0.126578767900521,-0.112010640773076,1.36149885331493,1.24948821254185,0.33333333333333,3.53333333333333
PIP,75,1,0.223167288190417,0.028991981377442,0.361792774457614,0.390784755835056,1.8,2.73333333333333
PIP,75,2,0.234945545253881,-0.140423135995296,1.38476425676319,1.24434112076789,1.8,2.73333333333333
PIP,76,1,0.228091457890837,0.0332248459676102,0.3086935061866,0.34191835215421,0.13333333333333,2.46666666666667
PIP,76,2,0.318985136520244,0.0574940161650937,1.63625003322438,1.69374404938948,0.13333333333333,2.46666666666667
PIP,77,1,0.0377101290227506,-0.217905770014499,-0.0644655854468111,-0.28237135546131,-0.4,1.69230769230769
PIP,77,2,0.315398414118754,-0.217721448560698,0.846134361295142,0.628412912734445,-0.4,1.69230769230769
PIP,78,1,0.00174135195575095,0.0353567937278731,-0.00769183943677228,0.0276649542911008,0,1.85714285714286
PIP,78,2,-0.0157329943826467,-0.123618831495571,0.953108192396706,0.829489360901135,0,1.85714285714286
PIP,79,1,0.328197874611636,-0.0362212578500947,0.531289852842618,0.495068594992524,0.33846153846154,0.53846153846154
PIP,79,2,0.191151383069479,-0.022308790219294,1.64550688531217,1.62319809509287,0.33846153846154,0.53846153846154
PIP,80,1,0.032190286017029,-0.059412230963705,0.275696098595322,0.216283867631617,-0.18095238095238,2.24761904761904
PIP,80,2,0.207844511163536,0.0364587534839451,0.739402738670558,0.775861492154503,-0.18095238095238,2.24761904761904
PIP,81,1,0.0296757393878656,0.0574643290487547,-0.000138166160041818,0.0573261628887129,0.6,2.46666666666667
PIP,81,2,0.0687147529696533,-0.115155539189498,1.11869793772373,1.00354239853423,0.6,2.46666666666667
PIP,82,1,0.1278808975391,-0.0899730688202063,0.381986100449012,0.292013031628805,-0.0857142857142899,1.64761904761904
PIP,82,2,0.592536554394238,-0.266497302310094,1.34449708025937,1.07799977794927,-0.0857142857142899,1.64761904761904
PIP,83,1,-0.325575799436985,0.168515593599286,-0.146546838034754,0.021968755564532,-0.0329670329670297,2.53846153846154
PIP,83,2,-0.0728493409044901,-0.0351779066124417,0.980509234109591,0.945331327497149,-0.0329670329670297,2.53846153846154
PIP,84,1,0.00398259477013611,0.0469240624469238,0.262585744959587,0.309509807406511,-0.06666666666667,2.17948717948718
PIP,84,2,0.0562457305039951,0.0612394977215547,1.56616818019075,1.62740767791231,-0.06666666666667,2.17948717948718
PIP,85,1,0.0370197061111043,0.0314079883625699,0.469727123586172,0.501135111948742,0,2.33333333333333
PIP,85,2,0.119649794621726,0.101794892661517,1.41759396931351,1.51938886197503,0,2.33333333333333
PIP,86,1,0.0662361288847324,0.17252723459824,0.16384138543747,0.336368620035709,0.30952380952381,2.64285714285714
PIP,86,2,0.382921525352492,-0.00944801740379782,1.24943595272823,1.23998793532443,0.30952380952381,2.64285714285714
PIP,87,1,-0.128047629004776,0.438998008853063,-0.225871060938793,0.21312694791427,0.73333333333334,2.66666666666667
PIP,87,2,-0.0341521408527777,0.170112290120362,0.825846530155833,0.995958820276194,0.73333333333334,2.66666666666667
PIP,88,1,0.134848065847463,0.176692282432472,-0.0409955732938708,0.135696709138601,-0.28571428571429,3
PIP,88,2,0.187450565325665,0.0559275726601257,1.12091580654259,1.17684337920272,-0.28571428571429,3
PIP,89,1,0.235645859952447,0.0348319632153772,0.406501714463575,0.441333677678952,0,2
PIP,89,2,0.236768364830691,-0.0244796138786859,1.52250601907302,1.49802640519433,0,2
PIP,90,1,-0.00206144230932215,0.23229981366652,0.268807801344973,0.501107615011493,0.26666666666666,2.4
PIP,90,2,0.094353497077098,-0.0171001038786689,1.19481193570669,1.17771183182802,0.26666666666666,2.4
PIP,91,1,0.0351362002369664,-0.0271840370923724,0.114529359021596,0.0873453219292236,1.8,2.2
PIP,91,2,0.0245079855216721,-0.0133526433366144,0.902747319797278,0.889394676460664,1.8,2.2
PIP,92,1,0.0197416254428031,0.0367197969830544,0.3164590990836,0.353178896066654,1,1.4
PIP,92,2,0.0843257754570147,-0.0786642270753111,1.15681963955438,1.07815541247906,1,1.4
PIP,93,1,0.0370658405822583,0.0978503252900676,0.262972992527556,0.360823317817624,1.35714285714286,2.86190476190476
PIP,93,2,0.198317013634236,0.0103122736532452,1.48055360516023,1.49086587881348,1.35714285714286,2.86190476190476
PIP,94,1,-0.0472632759933754,0.00403734679925533,0.785969338534894,0.790006685334149,1.50769230769231,2.97435897435898
PIP,94,2,0.188355124483278,-0.112500422778699,1.88867776502743,1.77617734224873,1.50769230769231,2.97435897435898
PIP,95,1,0.0681765013503697,0.070771855707749,0.405828446857167,0.476600302564916,0.36666666666667,3.43333333333333
PIP,95,2,0.372879498339608,-0.0355448185449238,2.06400332112195,2.02845850257702,0.36666666666667,3.43333333333333
PIP,96,1,0.209563409593708,0.0811844246458817,0.360259632951614,0.441444057597496,0,2.93333333333333
PIP,96,2,0.132129165596813,0.0176719781319699,0.78069742942212,0.79836940755409,0,2.93333333333333
PIP,97,1,0.139792992751633,-0.0299866315458398,0.33725959470721,0.30727296316137,0.93333333333334,2.86666666666667
PIP,97,2,0.391293187612688,-0.0780850937228515,1.99073073318515,1.9126456394623,0.93333333333334,2.86666666666667
PIP,98,1,0.0988214025576075,0.0443025782832881,0.54398073200688,0.588283310290168,0.92857142857143,1.98412698412699
PIP,98,2,0.340590991463169,-0.222440879430188,2.21941985507814,1.99697897564795,0.92857142857143,1.98412698412699
